"No.","Time","Source","Destination","Protocol","Length","Info"
"81","15.991718","192.168.1.114","10.36.169.121","ICMP","74","Echo (ping) request  id=0x0001, seq=160/40960, ttl=128 (no response found!)"
"82","15.993312","150.164.7.3","192.168.1.114","ICMP","70","Destination unreachable (Host unreachable)"
"83","16.564036","IntelCor_23:c6:39","Broadcast","ARP","42","Who has 192.168.1.1? Tell 192.168.1.137"
"84","17.179712","192.168.1.162","224.0.0.251","MDNS","205","Standard query 0x0000 PTR _raop._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Andre-MBP._companion-link._tcp.local OPT"
"85","17.182098","fe80::8:d148:7443:1442","ff02::fb","MDNS","225","Standard query 0x0000 PTR _raop._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Andre-MBP._companion-link._tcp.local OPT"
"86","18.319513","fe80::1868:8f9f:89e6:f622","ff02::1:2","DHCPv6","120","Information-request XID: 0x2ac598 CID: 000100011d8cbdd81c39470dc511 "
"87","18.716935","192.168.1.146","255.255.255.255","DB-LSP-DISC","247","Dropbox LAN sync Discovery Protocol"
"88","18.719854","192.168.1.146","192.168.1.255","DB-LSP-DISC","247","Dropbox LAN sync Discovery Protocol"
"89","18.733604","64.233.190.189","192.168.1.114","QUIC","81","Payload (Encrypted), PKN: 10"
"90","18.759553","192.168.1.114","64.233.190.189","QUIC","80","Payload (Encrypted), PKN: 9, CID: 2111989944527357651"
"91","19.328998","192.168.1.185","192.168.1.255","UDP","86","57621  >  57621 Len=44"
"92","20.445185","157.240.12.13","192.168.1.114","TLSv1.2","93","Application Data"
"93","20.445308","157.240.12.13","192.168.1.114","TCP","54","443  >  50424 [FIN, ACK] Seq=40 Ack=2 Win=1013 Len=0"
"94","20.445410","192.168.1.114","157.240.12.13","TCP","54","50424  >  443 [ACK] Seq=2 Ack=41 Win=256 Len=0"
"95","20.445793","192.168.1.114","157.240.12.13","TCP","54","50424  >  443 [FIN, ACK] Seq=2 Ack=41 Win=256 Len=0"
"96","20.458710","157.240.12.13","192.168.1.114","TCP","54","443  >  50424 [ACK] Seq=41 Ack=3 Win=1013 Len=0"
"97","21.685188","IntelCor_23:c6:39","Broadcast","ARP","42","Who has 192.168.1.1? Tell 192.168.1.137"
"98","21.847882","192.168.1.114","192.168.1.1","DNS","79","Standard query 0x345b A clients6.google.com"
"99","21.923171","192.168.1.1","192.168.1.114","DNS","119","Standard query response 0x345b A clients6.google.com CNAME clients.l.google.com A 216.58.202.78"
"100","21.935004","192.168.1.114","216.58.202.78","QUIC","1392","Client Hello, PKN: 1, CID: 5552724622446492031"
